"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","rating"
"858",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,"Average"
"859",7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,"Poor"
"860",9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,"Average"
"861",11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,"Average"
"862",9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,"Good"
"863",8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,"Average"
"864",10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,"Average"
"865",8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,"Average"
"866",7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,"Average"
"867",6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,"Average"
"868",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,"Average"
"869",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,"Average"
"870",9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,"Average"
"871",7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,"Average"
"872",8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,"Average"
"873",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,"Poor"
"874",9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,"Average"
"875",9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,"Average"
"876",8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,"Poor"
"877",7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,"Average"
"878",10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,"Average"
"879",7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,"Average"
"880",7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,"Average"
"881",8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,"Average"
"882",7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,"Average"
"883",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,"Average"
"884",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,"Average"
"885",7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,"Average"
"886",7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,"Average"
"887",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,"Average"
"888",8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,"Average"
"889",8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,"Average"
"890",6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,"Average"
"891",7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,"Average"
"892",8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,"Average"
"893",6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,"Poor"
"894",8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,"Average"
"895",10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,"Average"
"896",5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,"Average"
"897",7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,"Average"
"898",8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,"Average"
"899",5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,"Average"
"900",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,"Average"
"901",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,"Average"
"902",7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,"Average"
"903",5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,"Poor"
"904",7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,"Good"
"905",6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,"Average"
"906",10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,"Average"
"907",6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,"Poor"
"908",8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,"Average"
"909",6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,"Average"
"910",10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,"Poor"
"911",10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,"Average"
"912",9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,"Average"
"913",5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,"Poor"
"914",7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,"Average"
"915",7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,"Average"
"916",8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,"Average"
"917",10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,"Average"
"918",10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,"Average"
"919",8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,"Average"
"920",7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,"Average"
"921",8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,"Average"
"922",7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,"Poor"
"923",8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,"Average"
"924",7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,"Average"
"925",10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,"Average"
"926",7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,"Average"
"927",10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,"Average"
"928",8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,"Average"
"929",6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,"Average"
"930",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,"Poor"
"931",9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,"Average"
"932",6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,"Average"
"933",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,"Poor"
"934",8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,"Average"
"935",5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,"Average"
"936",6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,"Average"
"937",10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,"Poor"
"938",10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,"Average"
"939",8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,"Average"
"940",8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,"Average"
"941",9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,"Poor"
"942",9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,"Poor"
"943",8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,"Poor"
"944",9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,"Poor"
"945",8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,"Average"
"946",6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,"Average"
"947",7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,"Average"
"948",9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,"Average"
"949",7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,"Average"
"950",9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,"Average"
"951",7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,"Average"
"952",7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,"Average"
"953",6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,"Average"
"954",6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,"Poor"
"955",5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,"Poor"
"956",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,"Average"
"957",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,"Average"
"958",9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,"Poor"
"959",10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,"Average"
"960",6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,"Poor"
"961",6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,"Poor"
"962",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,"Average"
"963",6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,"Poor"
"964",6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,"Poor"
"965",8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,"Poor"
"966",9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,"Average"
"967",6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,"Poor"
"968",7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,"Average"
"969",6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,"Poor"
"970",7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,"Average"
"971",6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,"Average"
"972",7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,"Average"
"973",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,"Average"
"974",7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,"Average"
"975",8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,"Good"
"976",9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,"Poor"
"977",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"Average"
"978",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"Average"
"979",9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,"Poor"
"980",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"Average"
"981",6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,"Average"
"982",6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,"Poor"
"983",6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,"Average"
"984",9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,"Average"
"985",10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,"Average"
"986",8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,"Average"
"987",8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,"Average"
"988",8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,"Average"
"989",9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,"Average"
"990",10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,"Average"
"991",10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,"Average"
"992",9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,"Poor"
"993",7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,"Poor"
"994",9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,"Poor"
"995",5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,"Average"
"996",7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,"Average"
"997",7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,"Poor"
"998",7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,"Poor"
"999",10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,"Poor"
"1000",6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"Poor"
"1001",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,"Average"
"1002",8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,"Poor"
"1003",6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,"Poor"
"1004",7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,"Poor"
"1005",9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,"Poor"
"1006",9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,"Average"
"1007",8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,"Poor"
"1008",5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,"Average"
"1009",7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,"Poor"
"1010",7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,"Poor"
"1011",7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,"Poor"
"1012",6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,"Average"
"1013",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,"Average"
"1014",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,"Average"
"1015",7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,"Poor"
"1016",7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,"Poor"
"1017",7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,"Average"
"1018",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,"Average"
"1019",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,"Average"
"1020",8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,"Poor"
"1021",6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,"Poor"
"1022",8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,"Poor"
"1023",8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,"Average"
"1024",7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,"Average"
"1025",10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,"Average"
"1026",6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,"Average"
"1027",5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,"Good"
"1028",5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,"Average"
"1029",7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,"Average"
"1030",5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,"Poor"
"1031",7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,"Average"
"1032",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,"Average"
"1033",8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,"Poor"
"1034",7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,"Average"
"1035",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,"Average"
"1036",9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,"Average"
"1037",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,"Average"
"1038",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,"Average"
"1039",7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,"Average"
"1040",8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,"Average"
"1041",11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,"Poor"
"1042",7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,"Average"
"1043",8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,"Poor"
"1044",7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,"Poor"
"1045",7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,"Poor"
"1046",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,"Average"
"1047",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,"Average"
"1048",6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,"Poor"
"1049",7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,"Average"
"1050",5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,"Average"
"1051",7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,"Bad"
"1052",9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,"Average"
"1053",7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,"Poor"
"1054",7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,"Poor"
"1055",9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,"Poor"
"1056",7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,"Poor"
"1057",8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,"Poor"
"1058",7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,"Average"
"1059",7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,"Average"
"1060",7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,"Average"
"1061",5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,"Average"
"1062",9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,"Average"
"1063",7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,"Average"
"1064",9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,"Average"
"1065",5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,"Average"
"1066",9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,"Poor"
"1067",9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,"Average"
"1068",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,"Average"
"1069",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,"Average"
"1070",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,"Average"
"1071",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,"Average"
"1072",6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,"Poor"
"1073",7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,"Average"
"1074",7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,"Average"
"1075",9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,"Poor"
"1076",7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,"Poor"
"1077",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,"Poor"
"1078",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,"Poor"
"1079",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,"Average"
"1080",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,"Average"
"1081",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,"Average"
"1082",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,"Average"
"1083",11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,"Poor"
"1084",6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,"Poor"
"1085",7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,"Poor"
"1086",7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,"Poor"
"1087",9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,"Poor"
"1088",7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,"Average"
"1089",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,"Poor"
"1090",7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,"Poor"
"1091",6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,"Poor"
"1092",7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,"Average"
"1093",7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,"Poor"
"1094",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,"Average"
"1095",9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,"Poor"
"1096",8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,"Poor"
"1097",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,"Average"
"1098",8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,"Poor"
"1099",7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,"Average"
"1100",7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,"Poor"
"1101",7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,"Poor"
"1102",8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,"Average"
"1103",6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,"Poor"
"1104",8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,"Poor"
"1105",7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,"Average"
"1106",8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,"Poor"
"1107",7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,"Poor"
"1108",6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,"Bad"
"1109",7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,"Poor"
"1110",7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,"Average"
"1111",7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,"Average"
"1112",7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,"Average"
"1113",6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,"Poor"
"1114",7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,"Poor"
"1115",8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,"Poor"
"1116",7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,"Poor"
"1117",6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,"Poor"
"1118",6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,"Poor"
"1119",8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,"Poor"
"1120",7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,"Poor"
"1121",8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,"Poor"
"1122",6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,"Poor"
"1123",8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,"Average"
"1124",8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,"Poor"
"1125",7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,"Poor"
"1126",7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,"Average"
"1127",7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,"Average"
"1128",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,"Poor"
"1129",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,"Poor"
"1130",7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,"Average"
"1131",7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,"Good"
"1132",8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,"Average"
"1133",7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,"Average"
"1134",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,"Average"
"1135",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,"Average"
"1136",8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,"Average"
"1137",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,"Average"
"1138",6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,"Average"
"1139",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,"Average"
"1140",9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,"Poor"
"1141",6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,"Poor"
